//CHER
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_Reais							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> Real_1, 	1					// Currency Classname, Currency Money Value
	<Currency> Real_2, 	2
	<Currency> Real_5, 	5
	<Currency> Real_10, 	10
	<Currency> Real_20, 	20
	<Currency> Real_50, 	50
	<Currency> Real_100, 	100
	<Currency> Real_200, 	200


<Trader> Consumiveis							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetais							// Category Name
		CaninaBerry,		         	*,		100,		30	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,		        	*,		100,		30	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		30	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		30	// Sellvalue -1 means it can not be selled
		BMW,	                VNK,            400000,          100000
		BMW_black,	        VNK,            400000,          100000
		BMW_red,	        VNK,            400000,          100000
		Range_Rover,	        VNK,            650000,          100000
		Range_Rover_black,      VNK,            650000,          100000
		Range_Rover_green,	VNK,            650000,          100000

	<Category> Caminhões Mods		
		ZIL130_green,	        VNK,            1000000,          400000



	<Category> Peças
		CarRadiator,				*,		1000,			150
		CarBattery,				*,		700,			150
		TruckBattery,				*,		800,			150
		SparkPlug,				*,		1000,			150
		GlowPlug,				*,		1100,			150
		CanisterGasoline,			*,		2500,			500
		
    <Category> Chaves de Veículos
		MCK_CarKey_Blue,	                *,              1000,	100 		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1
		MCK_CarKey_Green,    		        *,              1000,   100		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1
	        MCK_CarKey_White,	                *,              1000,	100
	        MCK_CarKey_Yellow,	                *,              1000,	100
	        MCK_CarKey_Red,	                        *,              1000,	100
	
    <Category> Chaveiros
                MCK_CarKeyTag_Black,	                *,              800,	100
                MCK_CarKeyTag_Blue,	                *,              800,	100
                MCK_CarKeyTag_Green,	                *,              800,	100
                MCK_CarKeyTag_Grey,	                *,              800,	100
                MCK_CarKeyTag_Red,	                *,              800,	100
                MCK_CarKeyTag_White,	                *,              800,	100
                MCK_CarKeyTag_Yellow,	                *,              800,	100

<Trader> Caçador
        <Category> Peles	
		BearPelt,			S,		-1,		500
		CowPelt,			S,		-1,		500
		DeerPelt,			S,		-1,		500
		GoatPelt,			S,		-1,		500
		PigPelt,			S,		-1,		500
		RabbitPelt,			S,		-1,		200
		SheepPelt,			S,		-1,		500
		WildboarPelt,			S,		-1,		500
		WolfPelt,			S,		-1,		500
		Radioactive_wolf_pelt,			S,		-1,		3200
		Radioactive_bear_pelt,			S,		-1,		4000		

	<Category> Bifes
                ChickenBreastMeat,		S,		-1,		300
		GoatSteakMeat,			S,		-1,		300
		SheepSteakMeat,			S,		-1,		300
		PigSteakMeat,			S,		-1,		300
		BoarSteakMeat,			S,		-1,		300
		WolfSteakMeat,			S,		-1,		300
		BearSteakMeat,                  S,		-1,		300
		DeerSteakMeat,			S,		-1,		350
		CowSteakMeat,			S,		-1,		300
		Bone,			        10,		-1,		80
		Lard,			        S,		-1,		80
		Guts,			        S,		-1,		80
		Radioactive_wolf_Meat,	        S,		-1,		350
		Radioactive_bear_Meat,		S,		-1,		400

        <Category> Mutantes		
		FS_HIMERA_LAPA,			S,		-1,		8000		

        <Category> Apicultura
		rag_honey_pot,                                   *,		-1,  	                20000
		rag_honeywine_bottle,                            *,		-1,  	                8100
		rag_honey_jar,                                   *,		-1,  	                3100
		honey,                                           *,		-1,  	                2000



<Trader> Velha Guarda Modas
        <Category> Apicultura 
		beekeeper_pants,                                  *,		2000,  	        300
		beekeeper_gloves,                                 *,		800,  	        200
		beekeeper_boots,                                  *,		800,  	        200
		beekeeper_jacket,                                 *,		2000,  	        300
		beekeeper_hat,                                    *,		5000,  	        300

        <Category> Novos itens
		Chainmail,                                        *,		5000,  	        300
		Chainmail_Coif,                                   *,		5000,  	        300
		Chainmail_Leggings,                               *,		5000,  	        300
		Chestplate,                                       *,		5000,  	        300
		MedievalBoots,                                    *,		3000,  	        300
		WoolGlovesFingerless_Black,                       *,		2000,  	        300
		WoolGlovesFingerless_Green,                       *,		2000,  	        300
		WoolGlovesFingerless_Tan,                         *,		2000,  	        300
		WoolGloves_Black,                                 *,		2000,  	        300
		WoolGloves_Green,                                 *,		2000,  	        300
		WoolGloves_Tan,                                   *,		2000,  	        300
		WoolGloves_White,                                 *,		2000,  	        300

        <Category> Pacote de roupas Windstride
		Blue_Leggings,                                  *,		-1,  	        500
		Latex_Leggings,                                 *,		-1,	        500
		Latex_White_Leggings,                           *,		-1,	        500
		Adidas_Leggings,                                *,		-1,	        500
		Red_Leggings,                                   *,		-1,	        500
		Purple_Leggings,                                *,		-1,	        500
		Fleece_Grey_Leggings,                           *,		-1,	        500
		Poncho_Red_Checkered,                           *,		-1,	        500
		Poncho_Blue_Checkered,                          *,		-1,	        500
		Poncho_Yellow_Checkered,                        *,		-1,	        500
		Poncho_White,                                   *,		-1,	        500
		Poncho_Brown,                                   *,		-1,	        500
		Poncho_Green,                                   *,		-1,	        500
		Poncho_Red,                                     *,		-1,	        500
		Poncho_Black,                                   *,		-1,	        500
		Poncho_BlackAndWhite,                           *,		-1,	        500
		Poncho_BlackAndWhite2,                          *,		-1,	        500
		Military_Sweater,                               *,		-1,	        500
		Military_Sweater_Red,                           *,		-1,	        500
		Military_Sweater_Blue,                          *,		-1,	        500
		Military_Sweater_Green,                         *,		-1,	        500
		Military_Sweater_White,                         *,		-1,	        500
		Military_Sweater_Black,                         *,		-1,	        500
		Fingerless_Gloves,                              *,		-1,	        500
		Fingerless_Gloves_Brown,                        *,		-1,	        500
		Fingerless_Gloves_Wool,                         *,		-1,	        500
		Fingerless_Gloves_Wool_Grey,                    *,		-1,	        500
		Fingerless_Gloves_Wool_Black,                   *,		-1,	        500
		High_Knee_Sneakers,                             *,		-1,	        500
		High_Knee_Sneakers_Black,                       *,		-1,	        500
		Layered_Shirt_Base,                             *,		-1,	        500
		Layered_Shirt_Cheburashka,                      *,		-1,	        500
		Layered_Shirt_White,                            *,		-1,	        500
		Layered_Shirt_Courage,                          *,		-1,	        500
		Layered_Shirt_Lily,                             *,		-1,	        500
		Shemagh_Brown,                                  *,		-1,	        500
		Shemagh_Green,                                  *,		-1,	        500
		Shemagh_Red,                                    *,		-1,	        500
		Shemagh_White,                                  *,		-1,	        500
		Shemagh_Black,                                  *,		-1,	        500
		Shemagh_Bandit_Brown,                           *,		-1,	        500
		Shemagh_Bandit_Green,                           *,		-1,	        500
		Shemagh_Bandit_Red,                             *,		-1,	        500
		Shemagh_Bandit_White,                           *,		-1,	        500
		Shemagh_Bandit_Black,                           *,		-1,	        500
		Shemagh_Facemask_Brown,                         *,		-1,	        500
		Shemagh_Facemask_Green,                         *,		-1,	        500
		Shemagh_Facemask_Red,                           *,		-1,	        500
		Shemagh_Facemask_White,                         *,		-1,	        500
		Shemagh_Facemask_Black,                         *,		-1,	        500
		Shemagh_Scarf_Brown,                            *,		-1,	        500
		Shemagh_Scarf_Green,                            *,		-1,	        500
		Shemagh_Scarf_Red,                              *,		-1,	        500
		Shemagh_Scarf_White,                            *,		-1,	        500
		Shemagh_Scarf_Black,                            *,		-1,	        500
		Canvas_Backpack_Base,                           *,		-1,	        500
		Canvas_Backpack_Black,                          *,		-1,	        500
		Canvas_Backpack_White,                          *,		-1,	        500
		Canvas_Backpack_Red,                            *,		-1,	        500
		Canvas_Backpack_Blue,                           *,		-1,	        500
		Canvas_Backpack_Purple,                         *,		-1,	        500
		Golden_Winged_Pin,                              *,		-1,	        500
		Button_Pin_Radioactive,                         *,		-1,	        500
		Button_Pin_Daisy,                               *,		-1,	        500
		Sheriff_Badge,                                  *,		-1,	        500
		Kneepads_Jeans_Base,                            *,		-1,	        500
		Kneepads_Jeans_Black,                           *,		-1,	        500
		Ragged_Eyepatch,                                *,		-1,	        500
		Winter_Parka_Base,                              *,		-1,	        500
		Winter_Parka_White,                             *,		-1,	        500
		Winter_Parka_Green,                             *,		-1,	        500
		Medium_Sleeves_Shirt,                           *,		-1,	        500
		Medium_Sleeves_Shirt_Red,                       *,		-1,	        500
		Medium_Sleeves_Shirt_Blue,                      *,		-1,	        500
		Flipflops_Colorbase,                            *,		-1,	        500
		HumanSkull,                                     *,		-1,	        500
		SkullMask,                                      *,		-1,	        500
		Slouch_Hat_Brown,                               *,		-1,	        500
		Scarf_Brown,                                    *,		-1,	        500
		Scarf_ColorPalette1,                            *,		-1,	        500
		Scarf_Blue,                                     *,		-1,	        500
		Wool_GreatCoat_Navy,                            *,		-1,	        500
		Wool_GreatCoat_Olive,                           *,		-1,	        500
		Wool_GreatCoat_Grey,                            *,		-1,	        500
		Galife_Pants_Olive,                             *,		-1,	        500
		Galife_Pants_Navy,                              *,		-1,	        500
		Kirza_Boots,                                    *,		-1,	        500
		Plague_Mask,                                    *,		-1,	        500
		Leather_Cloak,                                  *,		-1,	        500
		Defender_Vest_Classic,                          *,		-1,	        500
		Defender_Vest_Black,                            *,		-1,	        500

        <Category> Master Chief 
		CBD_MasterChiefTop,                                 *,		400000,  	70000
		CBD_MasterChiefTop_Black,                           *,		-1,  	        70000
		CBD_MasterChiefTop_Blue,                            *,		-1,  	        70000
		CBD_MasterChiefTop_Brown,                           *,		-1,  	       	70000
		CBD_MasterChiefTop_Orange,                          *,		-1,      	70000
		CBD_MasterChiefTop_Pink,                            *,		-1,      	70000
		CBD_MasterChiefTop_Purple,                          *,		-1,      	70000
		CBD_MasterChiefTop_Red,                             *,		-1,      	70000
		CBD_MasterChiefTop_Yellow,                          *,		-1,      	70000
		CBD_MasterChiefTop_White ,                          *,		-1,      	70000
		CBD_MasterChiefHelmet,                              *,		100000,	        20000
		CBD_MasterChiefHelmet_Black,                        *,		-1,             20000
		CBD_MasterChiefHelmet_Blue,                         *,		-1,             20000
		CBD_MasterChiefHelmet_Brown,                        *,		-1,             20000
		CBD_MasterChiefHelmet_Orange,                       *,		-1,             20000
		CBD_MasterChiefHelmet_Pink,                         *,		-1,             20000
		CBD_MasterChiefHelmet_Purple,                       *,		-1,             20000
		CBD_MasterChiefHelmet_Red,                          *,		-1,             20000
		CBD_MasterChiefHelmet_Yellow,                       *,		-1,             20000
		CBD_MasterChiefHelmet_White,                        *,		-1,             20000
		CBD_MasterChief_hood,                               *,		20000,	        10000
		CBD_MasterCheifMask_Camo,                           *,		50000,   	20000
		CBD_Halopowercell,                                  *,		25000,  	15000
		CBD_Halopowercell_black,                            *,		25000,  	15000
		CBD_MasterChief_Jacket,                             *,		25000,  	15000
		CBD_MasterChief_Pants,                              *,		25000,  	15000
		CBD_MasterChief_Boots,                              *,		25000,  	15000
		CBD_MasterChief_Gloves,                             *,		25000,  	15000

	

	<Category> Operator Gear:Calças
		FOG_Pants_Crye_G3_M81,				*,		10000, 		500
		FOG_Pants_Crye_G3_MC,				*,		10000, 		500
		FOG_Pants_Crye_G3_Black,			*,		10000, 		500
		FOG_Pants_Crye_G3_MCB,				*,		10000, 		500
		FOG_Pants_Crye_G3_GTiger,			*,		10000, 		500
		FOG_Pants_Crye_G3_AOR1,				*,		10000, 		500
		FOG_Pants_Crye_G3_AOR2,				*,		10000, 		500
		FOG_Pants_Crye_G3_CB,				*,		10000, 		500
		FOG_Pants_Crye_G3_RG,				*,		10000, 		500
		FOG_Pants_Crye_G3_Grey,				*,		10000, 		500
		FOG_Pants_Crye_G3_DTGR,				*,		10000, 		500
		FOG_Pants_Crye_G3_MARPAT,			*,		10000, 		500
		FOG_Pants_Crye_G3_MCA,				*,		10000, 		500
		FOG_Pants_Crye_G3_MCAL,				*,		10000, 		500
		FOG_Pants_Crye_G3_MCT,				*,		10000, 		500
		FOG_Pants_Crye_G3_RDBS,				*,		10000, 		500
		FOG_Gorka_Pants_Khaki,				*,		10000, 		500
		FOG_Gorka_Pants_Black,				*,		10000, 		500
		FOG_MTF_Pants_Grey,				*,		10000, 		500
		FOG_MTF_Pants_RG,				*,		10000, 		500
		FOG_MTF_Pants_CB,				*,		10000, 		500
		FOG_MTF_Pants_ERDL,				*,		10000, 		500
		FOG_MTF_Pants_MC,				*,		10000, 		500
		FOG_MTF_Pants_MCB,				*,		10000, 		500
		FOG_MTF_Pants_FK,				*,		10000, 		500
		FOG_MTF_Pants_TS,				*,		10000, 		500
		FOG_UFP_Pants_6CD,				*,		10000, 		500
		FOG_UFP_Pants_ALP,				*,		10000, 		500
		FOG_UFP_Pants_Black,				*,		10000, 		500
		FOG_UFP_Pants_DCU,				*,		10000, 		500
		FOG_UFP_Pants_Grey,				*,		10000, 		500
		FOG_UFP_Pants_M81,				*,		10000, 		500
		FOG_UFP_Pants_MC,				*,		10000, 		500
		FOG_UFP_Pants_RG,				*,		10000, 		500
		FOG_UFP_Pants_Tan,				*,		10000, 		500
		FOG_UFP_Pants_Urban,				*,		10000, 		500
		FOG_UFP_Pants_White,				*,		10000, 		500
		FOG_BDU_Pants_Black,				*,		10000, 		500
		FOG_BDU_Pants_RG,				*,		10000, 		500
		FOG_BDU_Pants_Tan,				*,		10000, 		500

	<Category> Operator Gear:Jaquetas 
		FOG_Cronen_Shirt_Black,				*,		10000, 		520
		FOG_Cronen_Shirt_RG,				*,		10000, 		520
		FOG_Cronen_Shirt_CB,				*,		10000, 		520
		FOG_Cronen_Shirt_MC,				*,		10000, 		520
		FOG_511_Shirt_Flanel,				*,		10000, 		520
		FOG_511_Shirt_Flanel_Black,			*,		10000, 		520
		FOG_511_Shirt_Flanel_Red,			*,		10000, 		520
		FOG_511_Shirt_Flanel_Blue,			*,		10000, 		520
		FOG_511_Shirt_Flanel_Green,			*,		10000, 		520
		FOG_Crye_G3_Shirt_MC,				*,		10000, 		520
		FOG_Crye_G3_Shirt_MCB,				*,		10000, 		520
		FOG_Crye_G3_Shirt_MCT,				*,		10000, 		520
		FOG_Crye_G3_Shirt_MCA,				*,		10000, 		520
		FOG_Crye_G3_Shirt_MCAL,				*,		10000, 		520
		FOG_Crye_G3_Shirt_6CD,				*,		10000, 		520
		FOG_Crye_G3_Shirt_AOR1,				*,		10000, 		520
		FOG_Crye_G3_Shirt_AOR2,				*,		10000, 		520
		FOG_Crye_G3_Shirt_Black,			*,		10000, 		520
		FOG_Crye_G3_Shirt_CB,				*,		10000, 		520
		FOG_Crye_G3_Shirt_RG,				*,		10000, 		520
		FOG_Crye_G3_Shirt_DCU,				*,		10000, 		520
		FOG_Crye_G3_Shirt_DTGR,				*,		10000, 		520
		FOG_Crye_G3_Shirt_Grey,				*,		10000, 		520
		FOG_Crye_G3_Shirt_M81,				*,		10000, 		520
		FOG_Crye_G3_Shirt_MARPAT,			*,		10000, 		520
		FOG_Crye_G3_Shirt_RDBS,				*,		10000, 		520
		FOG_Crye_G3_Shirt_TGR,				*,		10000, 		520
		FOG_Enhanced_PCU_MC,				*,		10000, 		520
		FOG_Enhanced_PCU_Black,				*,		10000, 		520
		FOG_Enhanced_PCU_Grey,				*,		10000, 		520
		FOG_Enhanced_PCU_Tan,				*,		10000, 		520
		FOG_Enhanced_PCU_RG,				*,		10000, 		520
		FOG_HeavyRiders_Jacket_Black,			*,		10000, 		520
		FOG_HeavyRiders_Jacket_Teal,			*,		10000, 		520
		FOG_HeavyRiders_Jacket_Red,			*,		10000, 		520
		FOG_HeavyRiders_Jacket_Green,			*,		10000, 		520
		FOG_HeavyRiders_Jacket_RB,			*,		10000, 		520
		FOG_Hoodie_Jacket_Black,			*,		10000, 		520
		FOG_Hoodie_Jacket_Nike_G,			*,		10000, 		520
		FOG_Hoodie_Jacket_Patagonia,			*,		10000, 		520
		FOG_Hoodie_Jacket_FOG,				*,		10000, 		520
		FOG_Hoodie_Jacket_CDAJ,				*,		10000, 		520
		FOG_Hoodie_Jacket_MC,				*,		10000, 		520
		FOG_Hoodie_Jacket_ERDL,				*,		10000, 		520
		FOG_Hoodie_Jacket_PERDL,			*,		10000, 		520
		FOG_Hoodie_Jacket_Thrasher,			*,		10000, 		520
		FOG_Hoodie_Jacket_Supreme,			*,		10000, 		520
		FOG_Hoodie_Jacket_MLG,				*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_Black,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_Nike_G,		*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_Patagonia,		*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_FOG,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_CDAJ,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_MC,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_ERDL,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_PERDL,			*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_Thrasher,		*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_Supreme,		*,		10000, 		520
		FOG_Hoodie_Jacket_Rolled_MLG,			*,		10000, 		520
		FOG_Shirt_ISOF_Jacket_Black,			*,		10000, 		520
		FOG_Shirt_ISOF_Jacket_MC,			*,		10000, 		520
		FOG_Shirt_ISOF_Jacket_M81,			*,		10000, 		520
		FOG_Shirt_Tactical_Coat_Black,			*,		10000, 		520
		FOG_Shirt_Polo_Blue,				*,		10000, 		520
		FOG_Shirt_Polo_NavyBlue,			*,		10000, 		520
		FOG_Shirt_Polo_Black,				*,		10000, 		520
		FOG_Shirt_Polo_OD,				*,		10000, 		520
		FOG_Shirt_Polo_Trident,				*,		10000, 		520
		FOG_Jacket_SoftShell_Tan,			*,		10000, 		520
		FOG_Jacket_SoftShell_Black,			*,		10000, 		520
		FOG_Jacket_SoftShell_ERDL,			*,		10000, 		520
		FOG_Jacket_SoftShell_MC,			*,		10000, 		520
		FOG_Jacket_SoftShell_RG,			*,		10000, 		520
		FOG_Tactical_Hoodie_Black,			*,		10000, 		520
		FOG_Tactical_Hoodie_MC,				*,		10000, 		520
		FOG_Tactical_Hoodie_MCB,			*,		10000, 		520
		FOG_Tactical_Hoodie_UWU,			*,		10000, 		520
		FOG_Tactical_Hoodie_RG,				*,		10000, 		520
		FOG_Tactical_Hoodie_ERDL,			*,		10000, 		520
		FOG_Tshirt_Black,				*,		10000, 		520
		FOG_Tshirt_Black_Canoe,				*,		10000, 		520
		FOG_Tshirt_Black_CrimeCo,			*,		10000, 		520
		FOG_Tshirt_Black_FOG_Reaper,			*,		10000, 		520
		FOG_Tshirt_Black_FOG1,				*,		10000, 		520
		FOG_Tshirt_Black_FOG2,				*,		10000, 		520
		FOG_Tshirt_Black_MLG,				*,		10000, 		520
		FOG_Tshirt_Black_Raider,			*,		10000, 		520
		FOG_Tshirt_Black_Sfartaetc,			*,		10000, 		520
		FOG_Tshirt_Black_Thrasher,			*,		10000, 		520
		FOG_Tshirt_CB,				        *,		10000, 		520
		FOG_Tshirt_RG,				        *,		10000, 		520
		FOG_Tshirt_Red,			   	        *,		10000, 		520
		FOG_Tshirt_White_Pinup,				*,		10000, 		520
		FOG_Tshirt_White_Star,				*,		10000, 		520
		FOG_UFJ_Shirt_RG,				*,		10000, 		520
		FOG_UFJ_Shirt_CB,				*,		10000, 		520
		FOG_UFJ_Shirt_Black,				*,		10000, 		520
		FOG_UFJ_Shirt_Grey,				*,		10000, 		520
		FOG_UFJ_Shirt_ERDL,				*,		10000, 		520
		FOG_UFJ_Shirt_ERDL_RG,				*,		10000, 		520
		FOG_Gorka_Jacket_Khaki,				*,		10000, 		520
		FOG_Gorka_Jacket_Black,				*,		10000, 		520
		FOG_Gorka_Jacket_Green,				*,		10000, 		520
		FOG_Gorka_Jacket_Partizan,			*,		10000, 		520
		FOG_Gorka_Jacket_Autumn,			*,		10000, 		520
		FOG_Gorka_Jacket_Summer,			*,		10000, 		520
		FOG_MTF_Shirt_Grey,				*,		10000, 		520
		FOG_MTF_Shirt_RG,				*,		10000, 		520
		FOG_MTF_Shirt_CB,				*,		10000, 		520
		FOG_MTF_Shirt_ERDL,				*,		10000, 		520
		FOG_MTF_Shirt_MC,				*,		10000, 		520
		FOG_MTF_Shirt_MCB,				*,		10000, 		520
		FOG_MTF_Shirt_FK,				*,		10000, 		520
		FOG_MTF_Shirt_TS,				*,		10000, 		520
		FOG_Tactical_Fleece_Grey,			*,		10000, 		520
		FOG_Tactical_Fleece_Black,			*,		10000, 		520
		FOG_Tactical_Fleece_RG,				*,		10000, 		520
		FOG_Tactical_Fleece_CB,				*,		10000, 		520
		FOG_Tactical_Fleece_MC,				*,		10000, 		520
		FOG_Tactical_Fleece_Arctic,			*,		10000, 		520
		FOG_Hooded_Parka_OG,				*,		10000, 		520
		FOG_Hooded_Parka_Black,				*,		10000, 		520
		FOG_Hooded_Parka_RG,				*,		10000, 		520
		FOG_Hooded_Parka_CB,				*,		10000, 		520
		FOG_Hooded_Parka_MC,				*,		10000, 		520
		FOG_Hooded_Parka_ALP,				*,		10000, 		520

	<Category> Operator Gear:Mochilas
		FOG_Bag_6ShBagT_Green,				*,		-1, 		700
		FOG_Bag_6ShBagT_Black,				*,		-1,		700
		FOG_Bag_6ShBagT_RG,				*,		-1,		700
		FOG_Bag_6ShBagT_CB,				*,		-1,		700
		FOG_Bergen_Rucksack_Black,			*,		-1,		700
		FOG_Bergen_Rucksack_Green,			*,		-1,		700
		FOG_Bergen_Rucksack_Woodland,			*,		-1,		700
		FOG_Bergen_Rucksack_Multicam,			*,		-1,		700
		FOG_Bergen_Rucksack_ERDL,			*,		-1,		700
		FOG_Bag_DrawBridge_CB,				*,		-1,		700
		FOG_Bag_DrawBridge_RG,				*,		-1,		700
		FOG_Bag_DrawBridge_Black,			*,		-1,		700
		FOG_Bag_DrawBridge_Grey,			*,		-1,		700
		FOG_Bag_F4Terminator,				*,		-1,		700
		FOG_Bag_F4Terminator_Black,			*,		-1,		700
		FOG_Bag_F4Terminator_RG,			*,		-1,		700
		FOG_Bag_F4Terminator_CB,			*,		-1,		700
		FOG_Bag_MRASAP_Black,				*,		-1,		700
		FOG_Bag_MRASAP_Grey,				*,		-1,		700
		FOG_Bag_MRASAP_RG,				*,		-1,		700
		FOG_Bag_MRASAP_CB,				*,		-1,		700
		FOG_Bag_MRASAP_MC,				*,		-1,		700
		FOG_Bag_BlackJack_MC,				*,		-1,		700
		FOG_Bag_BlackJack_RG,				*,		-1,		700
		FOG_Bag_BlackJack_CB,				*,		-1,		700
		FOG_Bag_BlackJack_MCB,				*,		-1,		700
		FOG_Bag_BlackJack_ERDL,				*,		-1,		700
		FOG_Bag_BlackJack_Black,			*,		-1,		700
		FOG_Bag_SSO_Tan,				*,		-1,		700
		FOG_Bag_SSO_Black,				*,		-1,		700
		FOG_Bag_SSO_MC,				        *,		-1,		700
		FOG_Bag_SSO_CB,				        *,		-1,		700
		FOG_Bag_SSO_MCB,				*,		-1,		700
		FOG_Bag_SSO_Toxic,				*,		-1,		700
		FOG_Bag_Trizip_Puke,				*,		-1,		700
		FOG_Bag_Trizip_Black,				*,		-1,		700
		FOG_Bag_Trizip_RG,				*,		-1,		700
		FOG_Bag_Trizip_CB,				*,		-1,		700
		FOG_Bag_Trizip_RGCB,				*,		-1,		700
		FOG_Bag_Trizip_MARPAT,				*,		-1,		700
		FOG_Bag_Trizip_ATACSFG,				*,		-1,		700
		FOG_Bag_Trizip_DCU,				*,		-1,		700
		FOG_Bag_Trizip_ERDL,				*,		-1,		700
		FOG_Bag_Trizip_MC,				*,		-1,		700

	<Category> Operator Gear:Cintos
		FOG_Belt_RTGFB_CB,				*,		5000,		500
		FOG_Belt_RTGFB_MC,				*,		5000,		500
		FOG_Belt_RTGFB_RG,				*,		5000,		500
		FOG_Belt_RTGFB_Black,				*,		5000,		500
		FOG_Belt_RTGFB_AOR1,				*,		5000,		500
		FOG_Belt_RTGFB_AOR2,				*,		5000,		500
		FOG_Belt_RTGFB_ALP,				*,		5000,		500
		FOG_MRB_Belt_CB,				*,		5000,		500
		FOG_MRB_Belt_MC,				*,		5000,		500
		FOG_MRB_Belt_MCB,				*,		5000,		500
		FOG_MRB_Belt_RG,				*,		5000,		500
		FOG_MRB_Belt_AOR1,				*,		5000,		500
		FOG_MRB_Belt_AOR2,				*,		5000,		500
		FOG_MRB_Belt_ATACSAU,				*,		5000,		500
		FOG_MRB_Belt_Black,				*,		5000,		500
		FOG_MRB_Belt_6CD,				*,		5000,		500
		FOG_MRB_Belt_MCT,				*,		5000,		500

	<Category> Operator Gear:Luvas
		FOG_Tactical_Fingerless_Gloves_Green,		*,		5000,		400
		FOG_Tactical_Fingerless_Gloves_Black,		*,		5000,		400
		FOG_Tactical_Fingerless_Gloves_Tan,		*,		5000,		400
		FOG_Tactical_Fingerless_Gloves_MC,		*,		5000,		400

	<Category> Operator Gear:Capacetes
		FOG_Helmet_Airframe_CB,				*,		5000,		500
		FOG_Helmet_Airframe_RG,				*,		5000,		500
		FOG_Helmet_Airframe_Black,			*,		5000,		500
		FOG_Helmet_FAST_Bump_Tan,			*,		5000,		500
		FOG_Helmet_FAST_Bump_RG,			*,		5000,		500
		FOG_Helmet_FAST_Bump_Black,			*,		5000,		500
		FOG_Helmet_FAST_Bump_Grey,			*,		5000,		500
		FOG_Helmet_FAST_Bump_MC,			*,		5000,		500
		FOG_Helmet_FAST_Bump_MCB,			*,		5000,		500
		FOG_Helmet_FAST_Bump_ERDL,			*,		5000,		500
		FOG_Helmet_FASTMT_Tan,				*,		5000,		500
		FOG_Helmet_FASTMT_MC,				*,		5000,		500
		FOG_Helmet_FASTMT_Black,			*,		5000,		500
		FOG_Helmet_FAST_SF_Tan,			        *,		5000,		500
		FOG_Helmet_FAST_SF_RG,				*,		5000,		500
		FOG_Helmet_FAST_SF_Black,			*,		5000,		500
		FOG_Helmet_FAST_SF_MC,				*,		5000,		500
		FOG_Helmet_FAST_SF_MCB,				*,		5000,		500
		FOG_Helmet_FAST_SF_ERDL,			*,		5000,		500
		FOG_Helmet_Exfil_MC,				*,		5000,		500
		FOG_Helmet_Exfil_Black,				*,		5000,		500
		FOG_Helmet_Exfil_Tan,				*,		5000,		500
		FOG_Helmet_Exfil_RG,				*,		5000,		500

	<Category> Operator Gear:Headset
		FOG_COMTAC3_Headset_CB,				*,		1000,		500
		FOG_COMTAC3_Headset_RG,				*,		1000,		500
		FOG_M32_Headset_RG,				*,		1000,		500
		FOG_M32_Headset_Black,				*,		1000,		500
		FOG_Ronin_Hat,				        *,		1000,		500
		FOG_Ronin_Hat_Black,				*,		1000,		500

	<Category> Operator Gear:Mascaras
		FOG_Ghost_Headset_Tan,				*,		1000,		500
		FOG_Ghost_Mask_New,				*,		1000,		500
		FOG_Ghost_Mask_Black,				*,		1000,		500
		FOG_Ghost_Mask_Black_White,			*,		1000,		500
		FOG_Ghost_Mask_Black_Gold,			*,		1000,		500
		FOG_Ghost_Mask_RG,				*,		1000,		500
		FOG_Ghost_Mask_Tan,				*,		1000,		500
		FOG_Ghost_Mask_Red,				*,		1000,		500
		FOG_Ghost_Mask_Red_Gold,			*,		1000,		500
		FOG_Knight_Mask,				*,		1000,		500
		FOG_Knight_Mask_Black,				*,		1000,		500
		FOG_M50_Gasmask_Black,				*,		1000,		500
